name,weight,description
"folding Knife",1,
"Axe",1,
"Flashlight AA",1,
"9mm handgun 12 shots",1,
"Deck of cards",1,
"Drone with 3 hour flight time and controller has a screen",1,
"100lbs of Popsicle sticks",1,
"a hotwheels car (ford focus)",1,
"Shoes",1,
"50ft of rope",1,
"googly eyes in pez dispenser like thing -20 peel and stick",1,
"go cart 1 hour bat max speed 35mph 2 seater, beach wheels",1,
"boom box, Britney spears CD, only includes the song toxic 12 times.",1,
"AR-15, 30 rounds",1,
"MREs -10",1,
"300lb acetylene torch",1,
"guinea pig calendar (dis-may-ingly it is missing the 5th month )",1,
"bowie knife",1,
"gun case labeled AR14, full of physics paper pre-prints",1,
"hang glider",1,
"a Banana",1,
"Survival coat, heat resistant, many pockets. Seriously so many pockets.",1,
"bed time slippers - hard to run in",1,
"a hang glider",1,
"a 3 person canoe",1,
"a ceramic-ish bottomed sail boat intended for sand.",1,
"electric kettle",1,
"a 48 pack of 1L water bottles",1,
"3 assegai",1,
"A Claymore (bomb)",1,
"A Claymore (sword)",1,
"A Claymore (an anime)",1,
"100 lbs of modeling clay -new",1,
"100 lbs of modeling clay -dried into bricks",1,
"multi vitamins -500",1,
"2lb bag of pistachios",1,
"boom box with never gonna give you up CD (24 tracks, 23 never, 1 whats new pussy cat)",1,
"A toy light saber",1,
"A light saber (instruction note says 1 minute, for external use only, use only under adult supervision, fire hazard, choking hazard)",1,
"a king sized bed and mattress with blankets and sheets and pillows",1,
"a tape measure 25'",1,
"scotch tape",1,
"a hammer",1,
"a chisel",1,
"a thank you card with a kitten on the front",1,
"a steampunk pikachu action figure",1,
"a stapler calendar",1,
"a religious tract. Clippy saves. It looks like you are planning to live a good life. Would you like some help?",1,
"100ft of rope",1,
"The meat and dairy section of a American style grocery store",1,
"The fruit and veggies section of an American style grocery store",1,
"A sign that says: In this house we believe:  To combine utility functions is to share. to share is to live. To live is to prosper. To prosper is to attain utility.",1,
"A sign that says: In the house we believe: the other has goals inimical to my own. To allow the other to live is to die the little death that is lack of utility. I will not die the little death, for it leads to the final death, the loss of all future utility.",1,
"An NLAW with instruction manual",1,
"an action figure of your mother in law",1,
"A book of laws called share-n laws. It is mostly about how to combine very different utility functions fairly. Geometric means in N-dimensional space is a common theme.",1,
"a medevil cannon",1,
"an evil looking mid sized cannon (200lbs)",1,
"A rail gun, 100 rds, 50lbs",1,
"A Mason beam rifle single shot, shoots 20 masons jars in a stream",1,
"A meson beam rifle single shot, anti tank weapon.",1,
"grout",1,
"marble tile, off white.",1,
"marble works toy",1,
"three brown marbles and 1 blue marble",1,
"200 ft of rope",1,
"a 10ft pole",1,
"an inflatable bridge, 20ft.",1,
"12 apples",1,
"a banana tree",1,
"a 12'x12' canvas print of cats batting chess pieces around",1,
"an AK 47 with 30 rounds",1,
"a slingshot and 60 5/8" glass marbles",1,
"300 5/8" glass marbles",1,
".44 revolver and 6 shots",1,
"50 rounds of .44 mag",1,
"40 rounds 9mm handgun ammo",1,
"30 rounds 7.62x39 (AK47)",1,
